Weather_Condition,high_risk
light fog,1.0
light blowing snow,1.0
heavy freezing rain / windy,1.0
partial fog / windy,1.0
heavy blowing snow,0.75
heavy ice pellets,0.75
light thunderstorms and snow,0.7272727272727273
patches of fog / windy,0.7142857142857143
heavy thunderstorms and snow,0.6
low drifting snow,0.6
heavy rain showers,0.5714285714285714
snow and thunder / windy,0.5
thunder and hail / windy,0.5
rain and sleet,0.5
snow showers,0.5
heavy snow with thunder,0.5
light snow grains,0.5
blowing sand,0.5
light ice pellets,0.4961832061068702
light snow showers,0.4583333333333333
thunderstorms and rain,0.43437077131258456
heavy thunderstorms and rain,0.43259557344064387
light thunderstorms and rain,0.41168120056783614
rain showers,0.3983739837398374
thunderstorm,0.38485804416403785
smoke / windy,0.35789473684210527
scattered clouds,0.3515517822183382
overcast,0.3495034816358726
ice pellets,0.3465346534653465
light freezing rain,0.33997113997114
clear,0.33562577975945385
duststorm,0.3333333333333333
thunderstorms and snow,0.3333333333333333
drifting snow / windy,0.3333333333333333
heavy rain shower,0.3333333333333333
light thunderstorm,0.3333333333333333
light hail,0.3333333333333333
light freezing fog,0.3206793206793207
light rain showers,0.3184713375796178
light freezing drizzle,0.31290322580645163
heavy drizzle,0.3008849557522124
squalls / windy,0.2553191489361702
drizzle,0.2494710114261532
light rain shower,0.2471042471042471
heavy rain,0.2470828561701074
light drizzle,0.24228531123258684
rain,0.24024380121189123
mist,0.23763775077705568
blowing snow,0.23378378378378378
light rain,0.22795128018427174
light snow and sleet / windy,0.2222222222222222
snow grains,0.2222222222222222
light drizzle / windy,0.2175732217573222
unknown,0.21748078796718534
small hail,0.21333333333333335
heavy sleet,0.21212121212121213
mostly cloudy,0.20939288227161126
light snow,0.20897575380789554
patches of fog,0.20728764478764478
partly cloudy,0.20514698728990574
haze,0.201960038308647
snow,0.2008109673682178
light haze,0.2
squalls,0.2
light rain with thunder,0.1958520261822461
t-storm,0.19547888161808447
showers in the vicinity,0.1928665785997358
t-storm / windy,0.1857318573185732
thunder / windy,0.18505338078291814
wintry mix / windy,0.18429003021148035
heavy snow,0.18428942634419349
heavy t-storm,0.18302140419811808
widespread dust,0.18232044198895028
funnel cloud,0.18181818181818182
smoke,0.1802178718029681
heavy rain / windy,0.17728168089297439
drizzle / windy,0.17391304347826086
light freezing rain / windy,0.1728395061728395
freezing rain,0.17258883248730963
shallow fog,0.17112125162972622
light rain / windy,0.1695192549710546
snow and sleet,0.16857142857142857
drizzle and fog,0.16793893129770993
heavy t-storm / windy,0.16697080291970803
freezing drizzle,0.16666666666666666
mostly cloudy / windy,0.1654349406348437
rain / windy,0.1639966273187184
light snow and sleet,0.1568627450980392
partly cloudy / windy,0.1563323894150962
rain shower,0.15254237288135594
cloudy / windy,0.14898737892574113
thunder,0.14814814814814814
thunder in the vicinity,0.14519334506842316
heavy thunderstorms with small hail,0.14285714285714285
cloudy,0.14217422486359999
thunder / wintry mix,0.13793103448275862
sand / dust whirlwinds,0.13725490196078433
light sleet / windy,0.13333333333333333
hail,0.1282051282051282
fair / windy,0.12525581004177064
fog,0.1245893710070739
wintry mix,0.12090916858925062
fair,0.11709886199713995
light snow shower,0.11363636363636363
snow / windy,0.1066147859922179
light sleet,0.1015625
blowing dust / windy,0.10150375939849623
n/a precipitation,0.10055350553505535
thunder / wintry mix / windy,0.1
light snow / windy,0.09888661002050982
heavy snow / windy,0.09866962305986696
volcanic ash,0.09090909090909091
heavy freezing rain,0.09090909090909091
blowing dust,0.08994708994708994
sleet,0.08843537414965986
widespread dust / windy,0.08333333333333333
snow and sleet / windy,0.08333333333333333
sleet / windy,0.08
light snow with thunder,0.07894736842105263
fog / windy,0.07806191117092867
haze / windy,0.07210031347962383
freezing rain / windy,0.05555555555555555
tornado,0.05263157894736842
sand,0.05263157894736842
partial fog,0.05
snow and thunder,0.047619047619047616
blowing snow / windy,0.04432432432432432
rain shower / windy,0.0
light snow shower / windy,0.0
heavy sleet and thunder,0.0
blowing snow nearby,0.0
mist / windy,0.0
drifting snow,0.0
sand / windy,0.0
dust whirls,0.0
thunder and hail,0.0
sand / dust whirls nearby,0.0
sand / dust whirlwinds / windy,0.0
heavy sleet / windy,0.0
light rain shower / windy,0.0
shallow fog / windy,0.0
heavy freezing drizzle,0.0
sleet and thunder,0.0
heavy smoke,0.0
heavy rain shower / windy,0.0
